filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACXM,ACXM,8/15/2014,2613340,930892,2.807350
ACXM,ACXM,7/31/2014,3150459,636768,4.947577
ACXM,ACXM,7/15/2014,3290647,534894,6.151961
ACXM,ACXM,6/30/2014,3511034,663880,5.288658
ACXM,ACXM,6/13/2014,4043213,666829,6.063343
ACXM,ACXM,5/30/2014,4140549,975261,4.245580
ACXM,ACXM,5/15/2014,3031949,933498,3.247944
ACXM,ACXM,4/30/2014,2318050,581100,3.989072
ACXM,ACXM,4/15/2014,1822811,564864,3.226991
ACXM,ACXM,3/31/2014,2193053,470565,4.660468
ACXM,ACXM,3/14/2014,2070577,488039,4.242647
ACXM,ACXM,2/28/2014,1903000,476663,3.992338
ACXM,ACXM,2/14/2014,1839205,490637,3.748606
ACXM,ACXM,1/31/2014,1943854,729059,2.666251
ACXM,ACXM,1/15/2014,1980639,547213,3.619503
ACXM,ACXM,12/31/2013,2106366,801381,2.628420
ACXM,ACXM,12/13/2013,2321784,521636,4.450966
ACXM,ACXM,11/29/2013,2148670,284297,7.557836
ACXM,ACXM,11/15/2013,2244827,485200,4.626601
ACXM,ACXM,10/31/2013,2533315,533441,4.749007
ACXM,ACXM,10/15/2013,2411421,666730,3.616788
ACXM,ACXM,9/30/2013,2244585,530199,4.233476
ACXM,ACXM,9/13/2013,2191240,329273,6.654782
ACXM,ACXM,8/30/2013,2084850,291741,7.146236
ACXM,ACXM,8/15/2013,1809526,358416,5.048675
